x\y       1         2,5       4         5,5       7         8,5       10        
1         1,56      3,89      6,23      8,57      10,9      13,24     15,57     
2,5       -0,75     -1,87     -2,99     -4,11     -5,23     -6,35     -7,47     
4         1,16      2,89      4,63      6,37      8,1       9,84      11,58     
5,5       -1        -2,49     -3,98     -5,48     -6,97     -8,46     -9,96     
7         0,87      2,18      3,49      4,79      6,1       7,41      8,71      
8,5       -1,33     -3,32     -5,31     -7,3      -9,28     -1,13E+1  -1,33E+1  
10        0,65      1,62      2,59      3,57      4,54      5,51      6,48      

x\y       1         2,5       4         5,5       7         8,5       10        
1         1,56      3,89      6,23      8,57      10,9      13,24     15,57     
2,5       -0,75     -1,87     -2,99     -4,11     -5,23     -6,35     -7,47     
4         1,16      2,89      4,63      6,37      8,1       9,84      11,58     
5,5       -1        -2,49     -3,98     -5,48     -6,97     -8,46     -9,96     
7         0,87      2,18      3,49      4,79      6,1       7,41      8,71      
8,5       -1,33     -3,32     -5,31     -7,3      -9,28     -1,13E+1  -1,33E+1  
10        0,65      1,62      2,59      3,57      4,54      5,51      6,48      

